Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
Escape Room,Adam Robitel,2019,4,1.5,6.3,PG-13,"Action, Adventure, Horror",January,"$9,000,000","$155,712,077",No,103,,,,,,,
Europa Report,Sebastián Cordero,2013,1,0.5,6.4,PG-13,"Drama, Mystery, Sci-Fi",June,,"$125,687",No,90,,,,,,,
Event Horizon,Paul W.S. Anderson,1997,11,3,6.7,R,"Horror, Sci-Fi, Thriller",August,"$60,000,000","$26,673,242",No,130,,,,,,,
Evil Dead,Fede Alvarez,2013,20,4,6.5,R,"Fantasy, Horror, Thriller",April,"$17,000,000","$97,542,952",No,96,,,,,,,
Evil Dead II,Sam Raimi,1987,27,4,7.8,R,"Comedy, Horror",March,"$3,600,000","$5,923,044",No,84,,,,,,,
Exorcist: The Beginning,Renny Harlin,2004,17,4,5.1,R,"Horror, Mystery, Thriller",August,"$80,000,000","$76,899,937",No,125,,,,,,,
Extinction,Miguel Ángel Vivas,2015,12,3,5.8,R,"Drama, Horror, Sci-Fi",July,"7,000,000","$2,350,695",No,113,,,,,,,
Extraterrestrial,Colin Minihan,2014,30,4.5,5,NR,"Horror, Mystery, Sci-Fi",October,"$3,000,000","$71,103",No,101,,,,,,,
Fear Clinic,Robert Hall,2014,13,3,5,R,Horror,July,"$1,000,000","$106,974",No,95,,,,,,,
Final Destination,James Wong,2000,4,2,6.7,R,"Horror, Thriller",March,"$23,000,000","$112,880,294",Yes,98,,,,,,,
Final Destination 2,David R. Ellis,2003,3,1,6.2,R,"Horror, Thriller",January,"$26,000,000","$90,342,474",Yes,90,,,,,,,
Final Destination 3,James Wong,2006,5,1,5.8,R,"Horror, Thriller",February,"$25,000,000","$117,719,158",Yes,86,,,,,,,
Final Destination 5,Steven Quale,2011,5,1.5,5.8,R,"Horror, Thriller",August,"$40,000,000","$157,887,643",No,92,,,,,,,
